OPERADORA_PAIS,Date,GDP_N,GDP_R,GDP_N_ChangeRate,GDP_R_ChangeRate
PE,2018-01,57007.33333,42343.33333,0.083674,0.0793845
PE,2018-02,57007.33333,42343.33333,0.083674,0.0793845
PE,2018-03,57007.33333,42343.33333,0.083674,0.0793845
PE,2018-04,62562,45757,0.097437757,0.080618751
PE,2018-05,62562,45757,0.097437757,0.080618751
PE,2018-06,62562,45757,0.097437757,0.080618751
PE,2018-07,59982.33333,43958.33333,-0.041233763,-0.039309104
PE,2018-08,59982.33333,43958.33333,-0.041233763,-0.039309104
PE,2018-09,59982.33333,43958.33333,-0.041233763,-0.039309104
PE,2018-10,64311,46150,0.072165693,0.04985782
PE,2018-11,64311,46150,0.072165693,0.04985782
PE,2018-12,64311,46150,0.072165693,0.04985782
PE,2019-01,59296.33333,43386.66667,-0.077975256,-0.059877212
PE,2019-02,59296.33333,43386.66667,-0.077975256,-0.059877212
PE,2019-03,59296.33333,43386.66667,-0.077975256,-0.059877212
PE,2019-04,64515,46328,0.088009939,0.067793485
PE,2019-05,64515,46328,0.088009939,0.067793485
PE,2019-06,64515,46328,0.088009939,0.067793485
PE,2019-07,63270.33333,45335.33333,-0.019292671,-0.021426927
PE,2019-08,63270.33333,45335.33333,-0.019292671,-0.021426927
PE,2019-09,63270.33333,45335.33333,-0.019292671,-0.021426927
PE,2019-10,66913,47151.66667,0.05757306,0.040064409
PE,2019-11,66913,47151.66667,0.05757306,0.040064409
PE,2019-12,66913,47151.66667,0.05757306,0.040064409
PE,2020-01,58057.33333,41911.66667,-0.132345982,-0.111130748
PE,2020-02,58057.33333,41911.66667,-0.132345982,-0.111130748
PE,2020-03,58057.33333,41911.66667,-0.132345982,-0.111130748
PE,2020-04,46487,32790.66667,-0.199291505,-0.217624369
PE,2020-05,46487,32790.66667,-0.199291505,-0.217624369
PE,2020-06,46487,32790.66667,-0.199291505,-0.217624369
PE,2020-07,59993,41237.66667,0.290532837,0.25760379
PE,2020-08,59993,41237.66667,0.290532837,0.25760379
PE,2020-09,59993,41237.66667,0.290532837,0.25760379
PE,2020-10,70101,46341,0.168486323,0.123754173
PE,2020-11,70101,46341,0.168486323,0.123754173
PE,2020-12,70101,46341,0.168486323,0.123754173
PE,2021-01,66048.66667,43773,-0.057807069,-0.055415291
PE,2021-02,66048.66667,43773,-0.057807069,-0.055415291
PE,2021-03,66048.66667,43773,-0.057807069,-0.055415291
PE,2021-04,72837.66667,46278.33333,0.102787843,0.057234673
PE,2021-05,72837.66667,46278.33333,0.102787843,0.057234673
PE,2021-06,72837.66667,46278.33333,0.102787843,0.057234673
PE,2021-07,74315.33333,46107.33333,0.020287123,-0.003695034
PE,2021-08,74315.33333,46107.33333,0.020287123,-0.003695034
PE,2021-09,74315.33333,46107.33333,0.020287123,-0.003695034
PE,2021-10,79591.66667,47795.33333,0.070999255,0.036610228
PE,2021-11,79591.66667,47795.33333,0.070999255,0.036610228
PE,2021-12,79591.66667,47795.33333,0.070999255,0.036610228
PE,2022-01,73675,45488.33333,-0.074337766,-0.048268311
PE,2022-02,73675,45488.33333,-0.074337766,-0.048268311
PE,2022-03,73675,45488.33333,-0.074337766,-0.048268311
PE,2022-04,79124.66667,47832.33333,0.073969008,0.051529696
PE,2022-05,79124.66667,47832.33333,0.073969008,0.051529696
PE,2022-06,79124.66667,47832.33333,0.073969008,0.051529696
PE,2022-07,78495.33333,47036,-0.007953693,-0.016648432
PE,2022-08,78495.33333,47036,-0.007953693,-0.016648432
PE,2022-09,78495.33333,47036,-0.007953693,-0.016648432
PE,2022-10,83814.66667,48611,0.067766237,0.03348499
PE,2022-11,83814.66667,48611,0.067766237,0.03348499
PE,2022-12,83814.66667,48611,0.067766237,0.03348499
PE,2023-01,78483.66667,45305.66667,-0.06360462,-0.067995584
PE,2023-02,78483.66667,45305.66667,-0.06360462,-0.067995584
PE,2023-03,78483.66667,45305.66667,-0.06360462,-0.067995584
PE,2023-04,83938.33333,47579.66667,0.06950066,0.050192397
PE,2023-05,83938.33333,47579.66667,0.06950066,0.050192397
PE,2023-06,83938.33333,47579.66667,0.06950066,0.050192397
PE,2023-07,83156,46608.66667,-0.009320334,-0.020407877
PE,2023-08,83156,46608.66667,-0.009320334,-0.020407877
PE,2023-09,83156,46608.66667,-0.009320334,-0.020407877
PE,2023-10,88375.33333,48434,0.062765565,0.03916296
PE,2023-11,88375.33333,48434,0.062765565,0.03916296
PE,2023-12,88375.33333,48434,0.062765565,0.03916296
AR,2018-01,1038149.2,58943.7,10.74704706,0.216990131
AR,2018-02,1038149.2,58943.7,10.74704706,0.216990131
AR,2018-03,1038149.2,58943.7,10.74704706,0.216990131
AR,2018-04,1202616.167,62285.7,0.158423247,0.056698171
AR,2018-05,1202616.167,62285.7,0.158423247,0.056698171
AR,2018-06,1202616.167,62285.7,0.158423247,0.056698171
AR,2018-07,1273022.967,58008.46667,0.058544698,-0.068671193
AR,2018-08,1273022.967,58008.46667,0.058544698,-0.068671193
AR,2018-09,1273022.967,58008.46667,0.058544698,-0.068671193
AR,2018-10,1401148.567,56554.63333,0.100646731,-0.025062433
AR,2018-11,1401148.567,56554.63333,0.100646731,-0.025062433
