OPERADORA_PAIS,Date,Population
AR,2018-01,44413596
AR,2018-02,44413596
AR,2018-03,44413596
AR,2018-04,44413596
AR,2018-05,44413596
AR,2018-06,44413596
AR,2018-07,44413596
AR,2018-08,44413596
AR,2018-09,44413596
AR,2018-10,44413596
AR,2018-11,44413596
AR,2018-12,44413596
AR,2019-01,44745520
AR,2019-02,44745520
AR,2019-03,44745520
AR,2019-04,44745520
AR,2019-05,44745520
AR,2019-06,44745520
AR,2019-07,44745520
AR,2019-08,44745520
AR,2019-09,44745520
AR,2019-10,44745520
AR,2019-11,44745520
AR,2019-12,44745520
AR,2020-01,45036032
AR,2020-02,45036032
AR,2020-03,45036032
AR,2020-04,45036032
AR,2020-05,45036032
AR,2020-06,45036032
AR,2020-07,45036032
AR,2020-08,45036032
AR,2020-09,45036032
AR,2020-10,45036032
AR,2020-11,45036032
AR,2020-12,45036032
AR,2021-01,45276780
AR,2021-02,45276780
AR,2021-03,45276780
AR,2021-04,45276780
AR,2021-05,45276780
AR,2021-06,45276780
AR,2021-07,45276780
AR,2021-08,45276780
AR,2021-09,45276780
AR,2021-10,45276780
AR,2021-11,45276780
AR,2021-12,45276780
AR,2022-01,45510318
AR,2022-02,45510318
AR,2022-03,45510318
AR,2022-04,45510318
AR,2022-05,45510318
AR,2022-06,45510318
AR,2022-07,45510318
AR,2022-08,45510318
AR,2022-09,45510318
AR,2022-10,45510318
AR,2022-11,45510318
AR,2022-12,45510318
AR,2023-01,45773884
AR,2023-02,45773884
AR,2023-03,45773884
AR,2023-04,45773884
AR,2023-05,45773884
AR,2023-06,45773884
AR,2023-07,45773884
AR,2023-08,45773884
AR,2023-09,45773884
AR,2023-10,45773884
AR,2023-11,45773884
AR,2023-12,45773884
BR,2018-01,210166593
BR,2018-02,210166593
BR,2018-03,210166593
BR,2018-04,210166593
BR,2018-05,210166593
BR,2018-06,210166593
BR,2018-07,210166593
BR,2018-08,210166593
BR,2018-09,210166593
BR,2018-10,210166593
BR,2018-11,210166593
BR,2018-12,210166593
BR,2019-01,211782878
BR,2019-02,211782878
BR,2019-03,211782878
BR,2019-04,211782878
BR,2019-05,211782878
BR,2019-06,211782878
BR,2019-07,211782878
BR,2019-08,211782878
BR,2019-09,211782878
BR,2019-10,211782878
BR,2019-11,211782878
BR,2019-12,211782878
BR,2020-01,213196304
BR,2020-02,213196304
BR,2020-03,213196304
BR,2020-04,213196304
BR,2020-05,213196304
BR,2020-06,213196304
BR,2020-07,213196304
BR,2020-08,213196304
BR,2020-09,213196304
BR,2020-10,213196304
BR,2020-11,213196304
BR,2020-12,213196304
BR,2021-01,214326223
BR,2021-02,214326223
BR,2021-03,214326223
BR,2021-04,214326223
BR,2021-05,214326223
BR,2021-06,214326223
BR,2021-07,214326223
BR,2021-08,214326223
BR,2021-09,214326223
BR,2021-10,214326223
BR,2021-11,214326223
BR,2021-12,214326223
BR,2022-01,215313498
BR,2022-02,215313498
BR,2022-03,215313498
BR,2022-04,215313498
BR,2022-05,215313498
BR,2022-06,215313498
BR,2022-07,215313498
BR,2022-08,215313498
BR,2022-09,215313498
BR,2022-10,215313498
BR,2022-11,215313498
BR,2022-12,215313498
BR,2023-01,216422446
BR,2023-02,216422446
BR,2023-03,216422446
BR,2023-04,216422446
BR,2023-05,216422446
BR,2023-06,216422446
BR,2023-07,216422446
BR,2023-08,216422446
BR,2023-09,216422446
BR,2023-10,216422446
BR,2023-11,216422446
BR,2023-12,216422446
CL,2018-01,18701451
CL,2018-02,18701451
CL,2018-03,18701451
CL,2018-04,18701451
CL,2018-05,18701451
CL,2018-06,18701451
CL,2018-07,18701451
CL,2018-08,18701451
CL,2018-09,18701451
CL,2018-10,18701451
CL,2018-11,18701451
CL,2018-12,18701451
CL,2019-01,19039486
CL,2019-02,19039486
CL,2019-03,19039486
CL,2019-04,19039486
CL,2019-05,19039486
CL,2019-06,19039486
CL,2019-07,19039486
CL,2019-08,19039486
CL,2019-09,19039486
CL,2019-10,19039486
CL,2019-11,19039486
CL,2019-12,19039486
CL,2020-01,19300315
CL,2020-02,19300315
CL,2020-03,19300315
CL,2020-04,19300315
CL,2020-05,19300315
CL,2020-06,19300315
CL,2020-07,19300315
CL,2020-08,19300315
CL,2020-09,19300315
CL,2020-10,19300315
CL,2020-11,19300315
CL,2020-12,19300315
CL,2021-01,19493185
CL,2021-02,19493185
CL,2021-03,19493185
CL,2021-04,19493185
CL,2021-05,19493185
CL,2021-06,19493185
CL,2021-07,19493185
CL,2021-08,19493185
CL,2021-09,19493185
CL,2021-10,19493185
CL,2021-11,19493185
CL,2021-12,19493185
CL,2022-01,19603733
CL,2022-02,19603733
CL,2022-03,19603733
CL,2022-04,19603733
CL,2022-05,19603733
CL,2022-06,19603733
CL,2022-07,19603733
CL,2022-08,19603733
CL,2022-09,19603733
CL,2022-10,19603733
CL,2022-11,19603733
CL,2022-12,19603733
CL,2023-01,19629590
CL,2023-02,19629590
CL,2023-03,19629590
CL,2023-04,19629590
CL,2023-05,19629590
CL,2023-06,19629590
CL,2023-07,19629590
CL,2023-08,19629590
CL,2023-09,19629590
CL,2023-10,19629590
CL,2023-11,19629590
CL,2023-12,19629590
CO,2018-01,49276962
CO,2018-02,49276962
CO,2018-03,49276962
CO,2018-04,49276962
CO,2018-05,49276962
CO,2018-06,49276962
