ref_area.label,time,obs_value
SV,2018,4.006
SV,2018,4.006
SV,2018,4.006
SV,2018,4.006
SV,2018,4.006
SV,2018,4.006
SV,2018,4.006
SV,2018,4.006
SV,2018,4.006
SV,2018,4.006
SV,2018,4.006
SV,2018,4.006
SV,2019,4.17
SV,2019,4.17
SV,2019,4.17
SV,2019,4.17
SV,2019,4.17
SV,2019,4.17
SV,2019,4.17
SV,2019,4.17
SV,2019,4.17
SV,2019,4.17
SV,2019,4.17
SV,2019,4.17
SV,2020,5.008
SV,2020,5.008
SV,2020,5.008
SV,2020,5.008
SV,2020,5.008
SV,2020,5.008
SV,2020,5.008
SV,2020,5.008
SV,2020,5.008
SV,2020,5.008
SV,2020,5.008
SV,2020,5.008
SV,2021,4.327
SV,2021,4.327
SV,2021,4.327
SV,2021,4.327
SV,2021,4.327
SV,2021,4.327
SV,2021,4.327
SV,2021,4.327
SV,2021,4.327
SV,2021,4.327
SV,2021,4.327
SV,2021,4.327
SV,2022,2.999
SV,2022,2.999
SV,2022,2.999
SV,2022,2.999
SV,2022,2.999
SV,2022,2.999
SV,2022,2.999
SV,2022,2.999
SV,2022,2.999
SV,2022,2.999
SV,2022,2.999
SV,2022,2.999
SV,2023,2.758
SV,2023,2.758
SV,2023,2.758
SV,2023,2.758
SV,2023,2.758
SV,2023,2.758
SV,2023,2.758
SV,2023,2.758
SV,2023,2.758
SV,2023,2.758
SV,2023,2.758
SV,2023,2.758
PA,2018,5.218
PA,2018,5.218
PA,2018,5.218
PA,2018,5.218
PA,2018,5.218
PA,2018,5.218
PA,2018,5.218
PA,2018,5.218
PA,2018,5.218
PA,2018,5.218
PA,2018,5.218
PA,2018,5.218
PA,2019,6.332
PA,2019,6.332
PA,2019,6.332
PA,2019,6.332
PA,2019,6.332
PA,2019,6.332
PA,2019,6.332
PA,2019,6.332
PA,2019,6.332
PA,2019,6.332
PA,2019,6.332
PA,2019,6.332
PA,2020,14.183
PA,2020,14.183
PA,2020,14.183
PA,2020,14.183
PA,2020,14.183
PA,2020,14.183
PA,2020,14.183
PA,2020,14.183
PA,2020,14.183
PA,2020,14.183
PA,2020,14.183
PA,2020,14.183
PA,2021,10.453
PA,2021,10.453
PA,2021,10.453
PA,2021,10.453
PA,2021,10.453
PA,2021,10.453
PA,2021,10.453
PA,2021,10.453
PA,2021,10.453
