"ref_area.label","indicator.label","source.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Chile","Working-age population by sex and age (thousands)","LFS - National Employment Survey","Sex: Total","Age (Youth, adults): 15+","2024M01",16319.447,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Working-age population by sex and age (thousands)","LFS - National Employment Survey","Sex: Total","Age (Youth, adults): 15+","2023M12",16306.894,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Working-age population by sex and age (thousands)","LFS - National Employment Survey","Sex: Total","Age (Youth, adults): 15+","2023M11",16294.474,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Working-age population by sex and age (thousands)","LFS - National Employment Survey","Sex: Total","Age (Youth, adults): 15+","2023M10",16281.885,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Working-age population by sex and age (thousands)","LFS - National Employment Survey","Sex: Total","Age (Youth, adults): 15+","2023M09",16269.36,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Working-age population by sex and age (thousands)","LFS - National Employment Survey","Sex: Total","Age (Youth, adults): 15+","2023M08",16256.834,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Working-age population by sex and age (thousands)","LFS - National Employment Survey","Sex: Total","Age (Youth, adults): 15+","2023M07",16244.301,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Working-age population by sex and age (thousands)","LFS - National Employment Survey","Sex: Total","Age (Youth, adults): 15+","2023M06",16231.718,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Working-age population by sex and age (thousands)","LFS - National Employment Survey","Sex: Total","Age (Youth, adults): 15+","2023M05",16219.348,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Working-age population by sex and age (thousands)","LFS - National Employment Survey","Sex: Total","Age (Youth, adults): 15+","2023M04",16206.908,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
