"ref_area.label","indicator.label","source.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Chile","Working-age population by sex and age (thousands)","LFS - National Employment Survey","Sex: Total","Age (Youth, adults): 15+","2024M01",16319.447,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Working-age population by sex and age (thousands)","LFS - National Employment Survey","Sex: Total","Age (Youth, adults): 15-64","2024M01",13598.388,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Working-age population by sex and age (thousands)","LFS - National Employment Survey","Sex: Total","Age (Youth, adults): 15-24","2024M01",2563.411,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Working-age population by sex and age (thousands)","LFS - National Employment Survey","Sex: Total","Age (Youth, adults): 25+","2024M01",13756.036,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Working-age population by sex and age (thousands)","LFS - National Employment Survey","Sex: Male","Age (Youth, adults): 15+","2024M01",7992.961,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Working-age population by sex and age (thousands)","LFS - National Employment Survey","Sex: Male","Age (Youth, adults): 15-64","2024M01",6808.725,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Working-age population by sex and age (thousands)","LFS - National Employment Survey","Sex: Male","Age (Youth, adults): 15-24","2024M01",1302.517,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Working-age population by sex and age (thousands)","LFS - National Employment Survey","Sex: Male","Age (Youth, adults): 25+","2024M01",6690.444,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Working-age population by sex and age (thousands)","LFS - National Employment Survey","Sex: Female","Age (Youth, adults): 15+","2024M01",8326.486,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Working-age population by sex and age (thousands)","LFS - National Employment Survey","Sex: Female","Age (Youth, adults): 15-64","2024M01",6789.663,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Working-age population by sex and age (thousands)","LFS - National Employment Survey","Sex: Female","Age (Youth, adults): 15-24","2024M01",1260.894,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Working-age population by sex and age (thousands)","LFS - National Employment Survey","Sex: Female","Age (Youth, adults): 25+","2024M01",7065.592,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Working-age population by sex and age (thousands)","LFS - National Employment Survey","Sex: Total","Age (Aggregate bands): Total","2024M01",16319.447,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Working-age population by sex and age (thousands)","LFS - National Employment Survey","Sex: Total","Age (Aggregate bands): 15-24","2024M01",2563.411,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Working-age population by sex and age (thousands)","LFS - National Employment Survey","Sex: Total","Age (Aggregate bands): 25-54","2024M01",8758.63,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Working-age population by sex and age (thousands)","LFS - National Employment Survey","Sex: Total","Age (Aggregate bands): 55-64","2024M01",2276.347,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Working-age population by sex and age (thousands)","LFS - National Employment Survey","Sex: Total","Age (Aggregate bands): 65+","2024M01",2721.059,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Working-age population by sex and age (thousands)","LFS - National Employment Survey","Sex: Male","Age (Aggregate bands): Total","2024M01",7992.961,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
