ref_area.label,Date,obs_value
US,2018-01,4.492
US,2018-02,4.391
US,2018-03,4.13
US,2018-04,3.678
US,2018-05,3.558
US,2018-06,4.172
US,2018-07,4.11
US,2018-08,3.934
US,2018-09,3.56
US,2018-10,3.546
US,2018-11,3.473
US,2018-12,3.71
US,2019-01,4.405
US,2019-02,4.07
US,2019-03,3.92
US,2019-04,3.323
US,2019-05,3.383
US,2019-06,3.834
US,2019-07,3.975
US,2019-08,3.782
US,2019-09,3.334
US,2019-10,3.348
US,2019-11,3.31
US,2019-12,3.356
US,2020-01,3.978
US,2020-02,3.786
US,2020-03,4.534
US,2020-04,14.441
US,2020-05,12.985
US,2020-06,11.233
US,2020-07,10.462
US,2020-08,8.537
US,2020-09,7.67
US,2020-10,6.594
US,2020-11,6.396
US,2020-12,6.502
US,2021-01,6.814
US,2021-02,6.554
US,2021-03,6.175
US,2021-04,5.749
US,2021-05,5.497
US,2021-06,6.095
US,2021-07,5.664
US,2021-08,5.288
US,2021-09,4.564
US,2021-10,4.261
US,2021-11,3.888
US,2021-12,3.688
US,2022-01,4.426
US,2022-02,4.142
US,2022-03,3.755
US,2022-04,3.34
US,2022-05,3.38
US,2022-06,3.839
US,2022-07,3.783
US,2022-08,3.792
US,2022-09,3.32
US,2022-10,3.405
US,2022-11,3.362
US,2022-12,3.259
US,2023-01,3.864
US,2023-02,3.891
US,2023-03,3.623
US,2023-04,3.096
US,2023-05,3.419
US,2023-06,3.782
US,2023-07,3.785
US,2023-08,3.941
US,2023-09,3.607
US,2023-10,3.635
US,2023-11,3.469
US,2023-12,3.544
UY,2018-01,8.48
UY,2018-02,9.307
UY,2018-03,8.485
UY,2018-04,8.19
UY,2018-05,8.126
UY,2018-06,7.934
UY,2018-07,7.777
UY,2018-08,9.037
UY,2018-09,8.657
UY,2018-10,8.623
UY,2018-11,7.447
UY,2018-12,8.425
UY,2019-01,8.311
UY,2019-02,8.186
UY,2019-03,9.336
UY,2019-04,7.737
UY,2019-05,8.602
UY,2019-06,9.691
UY,2019-07,9.044
UY,2019-08,8.926
UY,2019-09,9.305
UY,2019-10,8.73
UY,2019-11,8.997
UY,2019-12,8.354
UY,2020-01,8.444
UY,2020-02,10.316
UY,2020-03,10.203
UY,2020-04,9.992
UY,2020-05,9.803
UY,2020-06,10.717
UY,2020-07,10.617
UY,2020-08,10.78
UY,2020-09,10.787
UY,2020-10,11.039
UY,2020-11,10.737
UY,2020-12,10.539
UY,2021-01,10.611
UY,2021-02,11.011
UY,2021-03,9.66
UY,2021-04,9.579
UY,2021-05,10.115
UY,2021-06,9.402
UY,2021-07,10.099
UY,2021-08,9.397
UY,2021-09,9.372
UY,2021-10,7.906
UY,2021-11,7.478
UY,2021-12,7.086
UY,2022-01,7.428
UY,2022-02,7.366
UY,2022-03,7.769
UY,2022-04,7.715
UY,2022-05,7.995
UY,2022-06,8.352
UY,2022-07,8.06
UY,2022-08,7.923
UY,2022-09,8.294
UY,2022-10,7.836
UY,2022-11,7.864
UY,2022-12,7.923
UY,2023-01,8.578
UY,2023-02,8.097
UY,2023-03,8.579
UY,2023-04,8.768
UY,2023-05,8.64
UY,2023-06,8.235
UY,2023-07,7.766
UY,2023-08,8.237
UY,2023-09,8.351
UY,2023-10,8.68
UY,2023-11,8.45
UY,2023-12,7.886
PE,2018-01,7.804
PE,2018-02,7.792
PE,2018-03,7.153
PE,2018-04,6.483
PE,2018-05,6.073
