"ref_area.label","indicator.label","source.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Chile","Unemployment rate by sex and age (%)","LFS - National Employment Survey","Sex: Total","Age (Youth, adults): 15+","2023M12",8.772,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Unemployment rate by sex and age (%)","LFS - National Employment Survey","Sex: Total","Age (Youth, adults): 15+","2023M11",8.823,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Unemployment rate by sex and age (%)","LFS - National Employment Survey","Sex: Total","Age (Youth, adults): 15+","2023M10",9.118,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Unemployment rate by sex and age (%)","LFS - National Employment Survey","Sex: Total","Age (Youth, adults): 15+","2023M09",9.246,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Unemployment rate by sex and age (%)","LFS - National Employment Survey","Sex: Total","Age (Youth, adults): 15+","2023M08",9.293,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Unemployment rate by sex and age (%)","LFS - National Employment Survey","Sex: Total","Age (Youth, adults): 15+","2023M07",9.347,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Unemployment rate by sex and age (%)","LFS - National Employment Survey","Sex: Total","Age (Youth, adults): 15+","2023M06",9.119,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Unemployment rate by sex and age (%)","LFS - National Employment Survey","Sex: Total","Age (Youth, adults): 15+","2023M05",8.813,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Unemployment rate by sex and age (%)","LFS - National Employment Survey","Sex: Total","Age (Youth, adults): 15+","2023M04",8.775,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Unemployment rate by sex and age (%)","LFS - National Employment Survey","Sex: Total","Age (Youth, adults): 15+","2023M03",8.955,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Unemployment rate by sex and age (%)","LFS - National Employment Survey","Sex: Total","Age (Youth, adults): 15+","2023M02",9.125,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Unemployment rate by sex and age (%)","LFS - National Employment Survey","Sex: Total","Age (Youth, adults): 15+","2023M01",8.716,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Unemployment rate by sex and age (%)","LFS - National Employment Survey","Sex: Total","Age (Youth, adults): 15+","2022M12",8.362,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Unemployment rate by sex and age (%)","LFS - National Employment Survey","Sex: Total","Age (Youth, adults): 15+","2022M11",8.221,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Unemployment rate by sex and age (%)","LFS - National Employment Survey","Sex: Total","Age (Youth, adults): 15+","2022M10",8.339,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Unemployment rate by sex and age (%)","LFS - National Employment Survey","Sex: Total","Age (Youth, adults): 15+","2022M09",8.336,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
"Chile","Unemployment rate by sex and age (%)","LFS - National Employment Survey","Sex: Total","Age (Youth, adults): 15+","2022M08",8.394,,,"Frequency: Monthly: 3 month moving average","Repository: ILO-STATISTICS - Micro data processing"
